post_time,likes,reposts,comments,user_id,repost_message,source,message,type,message_id,quarter
2020-01-22 17:52:00,124532,88058,47738,20,#致敬疫情前线医护人员#白衣战士，加油！  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 18:15:00,42194,34367,10000,100,大家注意！！尤其过新年到处拜年啊，必须特别注意啊！！！！戴口罩、多洗手、还要多提醒身边人也注意啊！！🙏🏻🙏🏻🙏🏻  ,人民日报,【#国家卫健委提示4点个人卫生建议#】①一定要戴口罩，打喷嚏要用手绢或者纸捂住口鼻；②要勤洗手；③如果不小心用手捂住自己的口鼻，打了一个喷嚏之后一定要先洗手；④#打喷嚏后不揉眼或接触黏膜部位#。转给更多人，注意做好个人防护和个人的卫生！ 人民日报的微博视频  ,5,11.0,2020-01-01
2020-01-22 18:31:00,20105,9229,9100,124,#致敬疫情前线医护人员# 请大家务必做好防护.平平安安🙏  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 18:54:00,13685,21589,14150,57,#致敬疫情前线医护人员#英雄们，辛苦了。  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 18:59:00,139515,49703,76490,70,#致敬疫情前线医护人员# 向医护工作者们致敬！大家要注意做好防护措施，戴口罩勤洗手，愿所有人都能健康平安！  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 19:00:00,247443,200630,62705,148,#致敬疫情前线医护人员# 愿所有人健康平安！前线医护人员保护好自己，你们辛苦了！  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 19:01:00,343290,19746,17009,61,#致敬疫情前线医护人员#大家一定要保护好自己，愿每一个人健康平安！  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 19:03:00,171845,57376,25225,11,#致敬疫情前线医护人员# 辛苦了！做好个人的卫生防护措施，注意防范，保护自己和家人，少去人多的地方。愿所有人一切平安健康！  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 19:18:00,31479,10354,11530,194,#致敬疫情前线医护人员# 向战斗在一线的医护工作者致敬！保护大家的同时，一定要保护好自己❤️共渡难关 一切平安！  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 19:20:00,219307,112888,42681,90,#致敬疫情前线医护人员#向医护人员致敬！大家注意安全多加防范，平安健康❤️  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 19:29:00,14022,8196,8275,203,請大家也要戴好口罩，勤洗手。保護好自己，也是保護他人。願大家都平平安安、健健康康的過年  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 19:45:00,5571,511,782,166,“不计报酬，无论生死！” 你们是前线的战士！愿逆行的你们平安！一定要做好保护措施！向最无私你们致敬！   #致敬疫情前线医护人员#  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 19:46:00,75415,2044,2091,149,致敬  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 19:50:00,2481,3435,745,137,此致敬礼  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 19:54:00,40659,24924,24217,201,#致敬疫情前线医护人员# 致敬英雄，注意防护，平安健康🙏  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 20:13:00,30563,24178,13101,58,#致敬疫情前线医护人员#辛苦各位奋斗在前线的医护人员 救治他人的时候自己也要平平安安大家出行一定要戴口罩 勤洗手 愿这场灾难快快离开🙏  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 20:15:00,42864,11283,10060,103,#致敬疫情前线医护人员#所有的医护人员辛苦了 希望大家都能平安健康  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 20:16:00,44874,12780,11096,128,#致敬疫情前线医护人员# 向白衣天使们致敬！愿所有人平安🙏  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 20:37:00,546,23,27,174,#致敬疫情前线医护人员# 向前线的医护人员致敬！感谢有你们，请大家做好防护措施，平安健康的和家人团聚！  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 20:38:00,25593,641,1326,52,醫護工作者辛苦了 也請保護好自己 照顧好自己 大家一定要記得戴口罩 勤洗手 勤通風 了解越多越利於預防   ,人民日报,【#国家卫健委提示4点个人卫生建议#】①一定要戴口罩，打喷嚏要用手绢或者纸捂住口鼻；②要勤洗手；③如果不小心用手捂住自己的口鼻，打了一个喷嚏之后一定要先洗手；④#打喷嚏后不揉眼或接触黏膜部位#。转给更多人，注意做好个人防护和个人的卫生！ 人民日报的微博视频  ,5,11.0,2020-01-01
2020-01-22 20:47:00,800292,430354,310636,29,#致敬疫情前线医护人员#向所有医护人员致敬！希望大家都做好防护措施，愿所有人都平安健康。//@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 20:53:00,566284,143728,38613,45,#致敬疫情前线医护人员# 向战斗在一线的医护工作者们致敬，大家都要保护好自己，愿平安健康//@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 20:54:00,21017,4138,3497,129,不轻视不恐慌，少近人堆勤洗手，向所有奋斗在一线的医护人员致敬。#防控疫情我们在一起#  ,人民日报,【扩散周知！#防范新型肺炎48字守则#】#防控疫情我们在一起#！转给家人朋友！  [组图共9张] 原图 ,5,13.0,2020-01-01
2020-01-22 21:03:00,1193,100,76,139,致敬我们的英雄！愿平安#致敬疫情前线医护人员#  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 21:03:00,40703,31386,12176,97,朋友們 出门戴口罩，勤洗手 咳嗽或打喷嚏时捂住口鼻 避免与呼吸道感染患者密切接触 避免近距离接触野生动物 不要去人多的地方凑热闹！照顾好自己 醫護人員 辛苦了！  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 21:10:00,724,68,140,37,#防控疫情我们在一起# 做好防范，望周知。  ,人民日报,【扩散周知！#防范新型肺炎48字守则#】#防控疫情我们在一起#！转给家人朋友！  [组图共9张] 原图 ,5,13.0,2020-01-01
2020-01-22 21:11:00,4833,2564,2670,102,#致敬疫情前线医护人员# 前线医护人员保护好自己，你们辛苦了！愿所有人平安❤  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 21:19:00,153908,61921,19363,173,#防控疫情我们在一起#一定要戴口罩，勤洗手，注意做好个人防护和个人的卫生。  ,人民日报,【扩散周知！#防范新型肺炎48字守则#】#防控疫情我们在一起#！转给家人朋友！  [组图共9张] 原图 ,5,13.0,2020-01-01
2020-01-22 21:27:00,53969,11327,7310,118,#致敬疫情前线医护人员# 向伟大的医护工作者们致敬！希望大家都平安健康  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 21:56:00,39204,655,681,82,希望大家平安，医护人员辛苦了！  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 22:10:00,73,13,15,153,#致敬疫情前线医护人员# 你们是最美的逆行者，愿平安我们的英雄！！！  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-22 22:36:00,1135294,1000000,224740,131,非常开心可以在#鼠年春晚#陪大家一起过年～大年三十，不见不散！🧨  ,央视新闻,【#李现称首次收到春晚邀约很惊讶#】近日，@李现ing 出现在#鼠年春晚#的彩排现场。这是李现第一次参加#春晚#。谈起收到春晚邀约时的感受，他不好意思地笑道：“惊讶！都28岁了，之前没经历过，还蛮紧张的。”对于自己的春晚首秀，李现透露：“是一个青春、活力、很有朝气的表演！”你期待吗？打开“春晚朋友圈”→ http://t.cn/AiFyFdor 听听你的“爱豆”说了啥@春晚 http://t.cn/A6vFkNBl ,0,14.0,2020-01-01
2020-01-22 22:59:00,74360,67831,21687,40,大家积极防治，感谢医护人员对我们的无私付出 #致敬疫情前线医护人员#  ,央视新闻,【为他们转发！#致敬疫情前线医护人员#】每个时代，都有不同的“英雄”。此时此刻，致敬#抗击新型肺炎第一线#救死扶伤、迎难而上的医护工作者们！  原图 ,6,12.0,2020-01-01
2020-01-23 09:46:00,126615,49862,78081,20,#武汉加油# 咱们一起，打赢这场防疫战！  ,人民日报,【转发为#武汉加油#！让武汉人民知道，全国人民和你们在一起！】为防控疫情、切断病毒传播途径，1月23日10时起， #武汉公交地铁暂停运营#；机场、火车站#离汉通道暂时关闭#。感谢武汉人民作出的巨大付出，你们不容易！武汉加油，咱们一起，打赢这场防疫战！  原图 ,3,15.0,2020-01-01
